date,region,country,city,department,product,customer_segment,campaign,channel,revenue,profit,cost,quantity,customers,satisfaction_score,conversion_rate,ad_spend,loan_balance,deposit_balance,latitude,longitude
2024-05-08,North,USA,Chicago,Support,Enterprise,Enterprise,Upsell,Retail,8606.54,4844.02,3762.52,44,5,3.75,0.0827,1252.26,4153.55,12459.3,42.4429,-86.2234
2024-01-23,West,USA,Seattle,Operations,Starter,SMB,Retention,Direct,848.75,311.6,537.15,8,2,3.62,0.0395,58.45,2007.34,1319.54,36.5185,-121.5462
2024-10-01,South,USA,Dallas,Operations,Add-on Analytics,SMB,Q1 Launch,Partner,605.05,264.86,340.19,6,2,4.58,0.0362,62.41,329.19,1548.37,32.8061,-84.7669
2024-11-05,South,USA,Dallas,Operations,Professional,SMB,Summer Promo,Direct,3332.88,1231.16,2101.72,19,5,4.1,0.0802,565.71,4196.37,7735.49,33.0764,-84.0558
2024-02-08,East,USA,Philadelphia,Marketing,Professional,SMB,Q1 Launch,Direct,5370.92,3025.6,2345.32,45,3,3.28,0.0543,375.8,8067.66,4935.09,38.3284,-74.4348
2025-01-06,North,USA,Minneapolis,Operations,Add-on Analytics,Mid-Market,Summer Promo,Retail,529.22,245.37,283.85,3,1,4.46,0.0601,94.51,735.58,1818.8,42.8686,-87.7531
2025-02-11,East,USA,Boston,Support,Professional,SMB,Q1 Launch,Retail,4042.83,1775.62,2267.21,39,3,3.4,0.0503,246.35,2462.76,13958.11,40.8981,-74.1434
2024-07-16,East,USA,Philadelphia,Finance,Add-on Analytics,Mid-Market,Q1 Launch,Online,1107.03,529.67,577.36,5,8,3.7,0.0467,104.12,530.28,649.7,40.1777,-73.5613
2024-05-30,East,USA,New York,Sales,Enterprise,Mid-Market,Q1 Launch,Partner,9436.38,3678.95,5757.43,43,9,5.0,0.0315,1679.63,6799.58,28952.12,39.3786,-75.0249
2024-09-08,East,USA,Philadelphia,Support,Professional,Enterprise,Upsell,Retail,3217.4,1468.83,1748.57,16,2,3.81,0.0538,181.24,879.01,9213.26,39.561,-73.6429
2024-01-27,North,USA,Minneapolis,Finance,Enterprise,Mid-Market,Upsell,Partner,10330.34,4064.27,6266.07,51,1,4.22,0.0419,1418.46,6137.73,35998.49,43.0887,-85.5605
2024-05-28,Central,Canada,Toronto,Finance,Enterprise,Mid-Market,Summer Promo,Direct,12146.57,6361.42,5785.14,132,6,4.04,0.0722,1226.9,27794.35,27198.7,43.4607,-78.0657
2024-09-01,North,USA,Chicago,Marketing,Starter,Mid-Market,Q1 Launch,Partner,1108.32,528.68,579.64,7,6,3.37,0.0876,149.56,829.53,1490.47,42.4686,-87.3205
2025-03-03,South,USA,Miami,Sales,Professional,SMB,Holiday Push,Partner,3585.71,1608.14,1977.58,24,7,4.77,0.0396,195.99,8603.69,3085.54,33.0741,-86.2563
2024-06-17,East,USA,New York,Support,Professional,SMB,Holiday Push,Retail,3190.36,1743.59,1446.76,23,2,3.69,0.0526,206.0,6881.31,1608.95,40.5314,-74.9727
2025-03-30,North,USA,Chicago,Operations,Professional,Mid-Market,Retention,Partner,5336.75,2579.0,2757.75,46,4,4.45,0.0313,299.7,1843.92,19830.74,41.9265,-86.9778
2024-05-10,Central,Canada,Toronto,Sales,Starter,Enterprise,Retention,Partner,2943.35,1186.0,1757.35,14,1,4.52,0.0859,244.46,6760.83,6153.37,45.239,-77.9719
2025-03-07,North,USA,Detroit,Finance,Add-on Analytics,SMB,Summer Promo,Online,835.62,430.42,405.2,6,2,4.25,0.028,118.7,1542.93,1345.37,42.0042,-86.5195
2024-04-03,South,USA,Atlanta,Finance,Starter,Enterprise,Retention,Direct,2043.44,577.21,1466.24,25,1,4.91,0.0616,244.61,3176.49,2975.57,33.1031,-85.4003
2024-01-10,North,USA,Chicago,Marketing,Enterprise,Enterprise,Upsell,Direct,25288.13,12912.52,12375.61,124,4,4.27,0.0729,2642.75,32532.11,13747.75,41.3377,-87.3977
2024-08-01,East,USA,Boston,Support,Starter,Enterprise,Upsell,Online,1748.49,935.77,812.72,8,2,3.58,0.0246,204.94,3242.21,5348.59,41.0167,-72.7508
2025-03-06,East,USA,New York,Finance,Add-on Analytics,Enterprise,Upsell,Retail,1321.27,685.32,635.95,7,1,4.96,0.0494,120.88,2010.78,3347.39,40.1342,-73.2248
2024-07-22,East,USA,Philadelphia,Operations,Professional,SMB,Q1 Launch,Partner,3503.13,1894.03,1609.1,34,5,4.07,0.0442,412.89,4102.32,4932.55,40.9231,-74.8063
2024-02-29,North,USA,Minneapolis,Marketing,Enterprise,Enterprise,Holiday Push,Retail,19556.87,9613.53,9943.34,104,7,4.66,0.0543,2356.75,8082.43,27113.53,41.5506,-86.7605
2024-07-19,South,USA,Dallas,Operations,Enterprise,Enterprise,Summer Promo,Retail,19006.05,6690.05,12316.01,101,3,4.0,0.0353,1972.14,21375.13,25817.95,34.4899,-83.474
2024-05-14,East,USA,Philadelphia,Finance,Professional,Mid-Market,Holiday Push,Online,2757.12,1465.75,1291.37,13,7,4.13,0.0414,196.49,3821.48,3383.01,40.6297,-73.2478
2024-11-24,South,USA,Atlanta,Sales,Add-on Analytics,SMB,Summer Promo,Retail,875.4,402.56,472.83,5,6,4.31,0.0287,114.63,1643.2,2869.31,34.9935,-84.2952
2025-06-20,East,USA,Boston,Marketing,Enterprise,Enterprise,Q1 Launch,Online,16379.05,9194.89,7184.16,113,2,4.05,0.0608,1800.76,27023.44,42568.07,41.0551,-73.6293
2025-04-01,East,USA,Boston,Operations,Starter,SMB,Retention,Retail,1205.15,536.42,668.72,5,7,4.69,0.0419,202.37,1263.3,3331.93,40.1166,-74.3316
2024-12-26,East,USA,Boston,Marketing,Starter,Enterprise,Q1 Launch,Partner,1510.31,575.62,934.69,18,4,3.63,0.0351,131.18,2547.66,5567.23,41.0279,-73.5071
2024-05-17,East,USA,Philadelphia,Finance,Add-on Analytics,Mid-Market,Retention,Online,991.98,479.97,512.01,4,3,3.86,0.0524,159.73,799.08,2386.63,41.2589,-73.9185
2025-05-13,Central,Canada,Vancouver,Support,Starter,Mid-Market,Upsell,Retail,955.83,273.88,681.95,5,5,4.17,0.0517,74.99,1950.02,3356.86,43.0845,-79.4482
2024-03-15,North,USA,Detroit,Operations,Add-on Analytics,SMB,Upsell,Direct,672.83,366.89,305.94,4,3,4.69,0.076,57.31,1488.38,1898.78,40.6815,-88.8349
2024-09-27,East,USA,New York,Sales,Professional,Mid-Market,Holiday Push,Direct,5389.87,2070.75,3319.11,24,3,4.32,0.0556,305.52,9058.54,9360.49,41.2606,-75.0847
2025-02-08,Central,Canada,Calgary,Support,Professional,Mid-Market,Summer Promo,Direct,4771.86,2064.42,2707.45,23,3,3.94,0.0507,509.26,9241.0,2967.79,43.3839,-77.9829
2025-03-20,South,USA,Atlanta,Sales,Starter,SMB,Upsell,Partner,878.48,293.62,584.86,9,5,4.1,0.108,129.75,261.15,703.61,33.3926,-83.5848
2024-03-15,North,USA,Minneapolis,Sales,Professional,Enterprise,Upsell,Retail,6542.63,2913.96,3628.67,48,5,3.94,0.0513,1031.85,11621.88,3879.93,41.5091,-88.5194
2025-02-13,South,USA,Dallas,Finance,Professional,SMB,Holiday Push,Partner,2116.91,871.39,1245.52,15,3,4.48,0.0367,352.01,3420.34,2332.54,33.5872,-83.1746
2024-04-26,Central,Canada,Vancouver,Support,Add-on Analytics,Mid-Market,Q1 Launch,Partner,2029.69,1058.19,971.5,11,2,3.5,0.0414,186.02,1830.57,1407.48,45.4253,-79.162
2025-05-17,Central,Canada,Vancouver,Operations,Starter,Enterprise,Upsell,Direct,760.63,416.66,343.97,7,4,4.68,0.0636,70.06,1803.92,1916.03,44.053,-79.8396
2025-06-08,Central,Canada,Calgary,Marketing,Professional,Mid-Market,Holiday Push,Partner,5239.65,2414.13,2825.52,32,2,4.38,0.0892,540.35,5652.52,14231.0,43.2703,-80.8462
2024-11-02,West,USA,Seattle,Finance,Professional,SMB,Holiday Push,Retail,2221.63,849.49,1372.14,14,3,4.88,0.0404,273.59,4196.32,3112.46,37.0312,-121.8703
2025-05-25,North,USA,Detroit,Sales,Enterprise,Enterprise,Q1 Launch,Online,16637.19,5038.24,11598.95,103,1,3.83,0.0805,2674.91,20647.48,35439.73,41.8484,-87.3996
2024-11-01,Central,Canada,Toronto,Support,Add-on Analytics,Enterprise,Summer Promo,Retail,1208.33,642.62,565.71,6,6,3.67,0.0762,136.09,1704.93,4757.81,42.8029,-78.4137
2025-03-05,Central,Canada,Vancouver,Sales,Professional,SMB,Q1 Launch,Retail,3007.84,1487.92,1519.92,24,2,4.27,0.0315,297.7,4652.49,1926.02,44.374,-79.1657
2024-07-04,Central,Canada,Toronto,Operations,Starter,Mid-Market,Q1 Launch,Partner,816.34,241.48,574.87,5,4,5.0,0.0423,97.55,2027.68,3147.39,43.8615,-79.9858
2025-05-20,East,USA,New York,Operations,Add-on Analytics,Mid-Market,Q1 Launch,Partner,630.01,343.2,286.81,7,5,3.99,0.0557,47.01,450.53,2441.48,41.7629,-73.0035
2025-03-30,North,USA,Minneapolis,Operations,Add-on Analytics,SMB,Upsell,Online,413.04,223.83,189.2,2,7,4.03,0.0251,62.53,460.61,1551.95,42.9819,-88.034
2024-04-28,South,USA,Atlanta,Support,Starter,SMB,Upsell,Retail,892.99,267.14,625.86,4,2,4.01,0.0374,107.02,1397.51,1077.43,33.3649,-82.6162
2024-02-18,West,USA,Denver,Finance,Add-on Analytics,SMB,Summer Promo,Direct,1528.69,685.84,842.85,7,4,4.73,0.0456,219.9,645.39,5775.92,36.9568,-123.0946
2024-08-23,East,USA,Boston,Operations,Enterprise,SMB,Holiday Push,Retail,2628.94,1141.27,1487.68,17,2,3.47,0.0712,291.74,5893.8,5690.25,40.4396,-73.5921
2024-12-10,West,USA,Seattle,Finance,Add-on Analytics,Enterprise,Holiday Push,Partner,2770.71,1082.46,1688.25,21,7,3.52,0.0376,210.06,4341.88,8632.0,37.5474,-122.5302
2024-04-16,East,USA,New York,Sales,Add-on Analytics,Enterprise,Q1 Launch,Partner,1748.37,736.38,1011.98,8,4,3.48,0.0591,212.48,3081.62,1302.11,39.8168,-73.7418
2025-03-19,East,USA,Philadelphia,Sales,Add-on Analytics,SMB,Holiday Push,Partner,580.27,273.74,306.52,5,3,4.08,0.0844,51.87,535.69,769.43,40.8682,-74.5719
2025-06-23,South,USA,Dallas,Finance,Enterprise,SMB,Upsell,Online,3278.81,1026.48,2252.32,15,3,4.02,0.0238,399.3,6857.73,2886.33,32.9325,-83.8006
2025-04-25,North,USA,Minneapolis,Finance,Add-on Analytics,Enterprise,Upsell,Direct,1991.98,915.32,1076.66,16,5,4.28,0.0301,315.6,3392.99,2334.05,42.4172,-86.9527
2024-12-31,Central,Canada,Toronto,Support,Add-on Analytics,Enterprise,Q1 Launch,Partner,875.81,446.16,429.65,7,4,4.11,0.0448,68.05,9.43,2188.72,41.8287,-79.1234
2024-02-18,South,USA,Atlanta,Support,Enterprise,Enterprise,Upsell,Retail,18557.86,6604.32,11953.54,140,2,3.9,0.0307,3299.37,19107.33,35477.81,33.8909,-83.1378
2024-09-09,Central,Canada,Calgary,Sales,Add-on Analytics,Enterprise,Q1 Launch,Partner,681.91,357.59,324.33,4,5,3.99,0.0526,54.01,1443.39,1293.71,42.9918,-78.9381
2025-05-10,West,USA,Seattle,Operations,Add-on Analytics,SMB,Summer Promo,Partner,1046.64,340.67,705.98,9,2,3.55,0.0363,180.03,1905.87,2139.63,37.7066,-122.563
2024-06-04,Central,Canada,Calgary,Sales,Add-on Analytics,SMB,Retention,Online,842.73,428.53,414.2,5,6,4.34,0.0539,147.38,1520.78,3128.64,45.5096,-80.2801
2024-02-20,South,USA,Dallas,Finance,Professional,SMB,Upsell,Direct,4053.39,1286.3,2767.09,33,7,4.54,0.0567,577.81,5710.45,9057.78,33.1884,-83.8878
2025-05-25,Central,Canada,Calgary,Finance,Starter,Enterprise,Summer Promo,Partner,1573.19,558.62,1014.57,13,7,3.32,0.0556,230.82,2090.81,3408.26,43.2372,-79.1922
2024-07-07,South,USA,Atlanta,Sales,Add-on Analytics,Enterprise,Upsell,Direct,1605.86,863.46,742.4,7,4,3.5,0.0741,95.75,532.11,5452.52,33.2766,-84.3414
2024-10-08,North,USA,Detroit,Operations,Add-on Analytics,SMB,Retention,Partner,323.85,144.37,179.48,2,4,3.93,0.0919,52.25,62.94,1029.06,41.4066,-86.8857
2024-11-03,East,USA,Philadelphia,Finance,Add-on Analytics,SMB,Summer Promo,Retail,810.2,335.19,475.01,4,4,3.75,0.0451,49.64,450.4,1655.53,42.9477,-74.3611
2024-11-30,North,USA,Minneapolis,Support,Professional,Mid-Market,Holiday Push,Direct,4931.21,2132.53,2798.68,32,3,4.14,0.0513,362.52,2674.15,4108.47,41.7937,-87.3809
2024-11-03,South,USA,Miami,Operations,Enterprise,Enterprise,Q1 Launch,Direct,14461.42,4304.83,10156.58,139,5,3.24,0.056,2600.85,8096.43,21751.76,33.6943,-84.2639
2024-10-11,West,USA,Seattle,Finance,Add-on Analytics,SMB,Upsell,Direct,490.39,157.91,332.48,2,4,4.49,0.0443,59.41,687.5,1112.83,37.8757,-122.607
2024-03-09,West,USA,Denver,Support,Professional,Mid-Market,Summer Promo,Online,7437.36,2415.98,5021.38,52,4,4.4,0.0402,424.98,10816.29,4284.16,38.535,-122.0853
2024-02-08,East,USA,Boston,Marketing,Professional,Enterprise,Holiday Push,Partner,10889.74,3398.52,7491.22,133,4,4.49,0.0473,1243.92,8174.71,23634.17,41.8403,-75.3009
2024-01-10,West,USA,San Francisco,Sales,Professional,Mid-Market,Retention,Partner,2438.11,943.05,1495.06,14,4,3.75,0.0337,266.09,2523.02,2726.62,36.8394,-122.8437
2025-05-14,East,USA,New York,Finance,Add-on Analytics,Mid-Market,Q1 Launch,Partner,666.14,383.95,282.19,3,5,2.79,0.0765,46.61,1231.98,507.97,41.5215,-75.5372
2025-06-07,East,USA,Boston,Finance,Enterprise,Mid-Market,Summer Promo,Retail,8921.55,4186.92,4734.64,85,5,4.82,0.0528,1520.83,5752.04,26097.71,38.9557,-74.3037
2024-02-08,East,USA,New York,Finance,Enterprise,Enterprise,Summer Promo,Partner,38321.62,13560.83,24760.8,319,7,3.84,0.053,5341.25,4538.48,57600.4,40.6291,-74.3444
2024-01-18,West,USA,Seattle,Operations,Enterprise,SMB,Summer Promo,Partner,15907.01,7442.65,8464.37,92,2,4.81,0.0617,1892.26,23602.65,9168.96,37.8587,-123.0138
2025-05-23,Central,Canada,Vancouver,Finance,Starter,SMB,Retention,Retail,996.86,398.33,598.53,5,6,3.8,0.0698,51.95,1127.72,3438.46,44.1005,-80.4116
2024-01-28,North,USA,Minneapolis,Marketing,Professional,SMB,Q1 Launch,Direct,6269.77,3136.5,3133.27,41,2,4.31,0.0475,1014.07,7026.09,9268.01,39.7185,-87.4357
2024-06-11,South,USA,Dallas,Support,Add-on Analytics,SMB,Q1 Launch,Online,575.38,266.08,309.3,5,4,4.52,0.0672,92.54,822.72,718.31,33.7818,-85.2984
2024-05-08,West,USA,San Francisco,Operations,Professional,Mid-Market,Q1 Launch,Retail,6108.56,2064.18,4044.38,28,6,4.27,0.0384,1042.1,4040.42,3900.08,36.5745,-123.9822
2024-04-14,South,USA,Atlanta,Support,Starter,Mid-Market,Summer Promo,Partner,1358.49,630.95,727.54,10,2,4.27,0.0296,156.97,1806.19,2174.99,34.0743,-84.2439
2025-02-18,West,USA,Denver,Operations,Add-on Analytics,SMB,Holiday Push,Direct,922.02,449.45,472.57,4,4,3.78,0.0668,148.81,225.62,1351.43,38.0124,-122.0029
2024-08-17,West,USA,Seattle,Operations,Professional,Enterprise,Summer Promo,Retail,6335.86,3160.95,3174.92,30,4,4.13,0.0366,657.3,13050.49,8860.87,39.5703,-122.7024
2024-10-11,East,USA,Philadelphia,Operations,Add-on Analytics,SMB,Q1 Launch,Retail,722.49,241.7,480.79,4,3,4.28,0.0429,42.47,925.22,1015.06,41.2852,-74.6774
2024-06-23,South,USA,Miami,Marketing,Add-on Analytics,SMB,Q1 Launch,Partner,483.74,176.36,307.37,3,2,4.69,0.0496,82.65,1145.84,774.71,33.0193,-85.2621
2024-05-16,West,USA,Seattle,Marketing,Starter,Mid-Market,Upsell,Retail,1570.33,879.15,691.17,18,4,3.65,0.0274,153.71,2108.84,2416.8,36.9551,-123.1993
2024-05-21,East,USA,New York,Finance,Professional,SMB,Q1 Launch,Online,3701.78,1715.98,1985.81,28,6,3.89,0.0595,659.93,4242.02,3053.04,40.0069,-73.9889
2025-04-14,West,USA,Denver,Sales,Enterprise,SMB,Retention,Retail,9947.26,3941.78,6005.48,53,3,4.17,0.0558,740.61,8430.89,29475.95,36.9612,-123.2352
2024-06-06,East,USA,Philadelphia,Finance,Add-on Analytics,SMB,Q1 Launch,Partner,1028.23,377.92,650.31,6,3,3.39,0.0329,152.53,1212.39,2263.3,41.527,-74.946
2025-04-29,West,USA,Seattle,Operations,Professional,SMB,Holiday Push,Online,1656.89,921.86,735.03,12,3,4.37,0.0479,97.27,1670.45,1293.98,37.8015,-124.851
2024-09-25,South,USA,Atlanta,Sales,Starter,SMB,Holiday Push,Partner,1100.82,514.06,586.76,5,3,4.41,0.113,64.94,2003.16,1660.26,34.632,-83.6578
2024-01-13,Central,Canada,Calgary,Finance,Add-on Analytics,SMB,Q1 Launch,Partner,548.34,177.61,370.72,4,5,4.68,0.0504,90.6,911.9,1589.22,43.3694,-79.076
2024-06-25,North,USA,Detroit,Marketing,Enterprise,SMB,Holiday Push,Partner,12697.45,6408.96,6288.49,96,4,4.55,0.0344,712.87,24196.62,50220.35,42.4676,-86.7604
2024-07-12,North,USA,Chicago,Support,Enterprise,Mid-Market,Retention,Retail,10902.11,4376.58,6525.53,49,2,4.78,0.0559,1810.08,21961.56,14886.12,41.9201,-87.3408
2025-06-10,Central,Canada,Toronto,Operations,Add-on Analytics,Mid-Market,Retention,Retail,838.77,351.25,487.52,5,2,3.93,0.0412,125.39,203.26,3062.33,41.6486,-78.9964
2025-03-23,North,USA,Minneapolis,Support,Enterprise,SMB,Retention,Direct,12717.28,5139.65,7577.63,101,8,3.35,0.0643,1304.23,18534.74,32405.78,41.4431,-86.8158
2024-10-17,North,USA,Detroit,Marketing,Add-on Analytics,Enterprise,Retention,Retail,825.55,453.76,371.79,6,4,4.81,0.0255,104.74,698.81,1702.19,39.9383,-89.089
2024-03-18,South,USA,Dallas,Marketing,Professional,SMB,Q1 Launch,Retail,5726.73,2680.02,3046.71,26,3,4.56,0.035,368.84,8714.08,22087.07,33.9211,-83.6036
2024-10-25,Central,Canada,Calgary,Support,Add-on Analytics,Mid-Market,Holiday Push,Retail,1007.32,336.61,670.71,6,1,3.89,0.067,173.51,2359.8,2380.74,43.6717,-78.6032
2024-05-05,West,USA,Seattle,Support,Starter,SMB,Q1 Launch,Online,596.24,319.73,276.51,5,3,4.7,0.0641,100.61,1345.25,2028.3,37.7292,-124.0253
2025-06-01,West,USA,Seattle,Operations,Enterprise,Mid-Market,Q1 Launch,Direct,9477.94,3275.2,6202.74,71,1,4.05,0.0416,1123.9,8892.16,36914.32,37.1386,-121.7872
2024-12-13,Central,Canada,Toronto,Operations,Enterprise,SMB,Holiday Push,Direct,3730.73,1844.6,1886.13,21,1,4.21,0.0555,548.7,4818.0,9751.42,43.3543,-79.8812
2024-01-09,West,USA,San Francisco,Operations,Enterprise,SMB,Upsell,Partner,6999.47,2482.69,4516.77,35,5,4.34,0.0358,353.52,7791.4,11690.91,37.2664,-121.4814
2024-12-18,North,USA,Detroit,Support,Add-on Analytics,Mid-Market,Upsell,Retail,1257.8,384.89,872.91,13,6,4.08,0.0327,171.8,1104.42,4532.18,41.4531,-89.268
2024-04-16,South,USA,Miami,Sales,Professional,SMB,Holiday Push,Partner,6354.6,2116.59,4238.01,30,6,4.3,0.0237,727.94,14103.43,17192.57,34.005,-85.0527
2024-04-17,South,USA,Dallas,Finance,Starter,SMB,Upsell,Partner,1348.25,474.59,873.66,8,9,4.42,0.0259,166.52,357.09,1739.53,34.8291,-84.4703
2025-03-11,Central,Canada,Vancouver,Operations,Starter,SMB,Holiday Push,Online,894.01,499.72,394.29,5,5,3.79,0.0541,84.38,1789.32,3118.12,43.7692,-79.8416
2024-12-28,West,USA,San Francisco,Finance,Enterprise,Mid-Market,Summer Promo,Online,11762.05,5018.36,6743.69,55,5,4.64,0.0396,1402.7,11405.19,39320.99,36.9345,-121.2424
2024-12-13,East,USA,Philadelphia,Marketing,Starter,Mid-Market,Q1 Launch,Online,2652.55,1341.72,1310.83,23,3,4.09,0.0451,411.06,2356.01,5135.86,40.4221,-75.1431
2025-04-27,Central,Canada,Calgary,Marketing,Starter,SMB,Summer Promo,Online,947.2,464.48,482.72,6,3,3.99,0.0505,151.34,414.35,3009.11,44.3965,-79.9521
2024-01-18,North,USA,Chicago,Finance,Starter,Enterprise,Holiday Push,Retail,2854.8,1035.71,1819.09,14,4,4.53,0.0534,180.05,2253.61,2151.36,42.7489,-87.4313
2024-03-28,North,USA,Minneapolis,Sales,Add-on Analytics,Enterprise,Upsell,Partner,1442.08,452.49,989.59,16,5,4.17,0.0649,112.72,2494.39,4187.76,41.5034,-88.3238
2025-02-03,East,USA,Boston,Operations,Add-on Analytics,Enterprise,Q1 Launch,Partner,895.96,292.1,603.86,5,7,4.39,0.0325,66.21,371.27,588.98,41.2998,-73.6868
2024-11-18,East,USA,New York,Operations,Enterprise,Mid-Market,Summer Promo,Retail,7108.05,2153.78,4954.27,59,2,3.79,0.0264,1106.21,13085.11,9075.84,41.3606,-73.3841
2024-12-16,South,USA,Miami,Finance,Enterprise,Mid-Market,Retention,Retail,9962.24,4667.17,5295.06,115,4,3.8,0.0536,985.67,9469.99,20020.25,33.3404,-83.2163
2024-08-21,East,USA,Philadelphia,Marketing,Add-on Analytics,Mid-Market,Retention,Retail,1007.57,459.12,548.45,6,2,3.98,0.0764,55.12,1565.41,2117.98,40.9227,-75.1008
2024-10-12,Central,Canada,Toronto,Sales,Professional,SMB,Holiday Push,Partner,2874.41,1527.57,1346.83,30,4,4.23,0.0598,510.4,4438.52,7576.98,45.5951,-80.1322
2024-08-14,South,USA,Miami,Operations,Starter,Enterprise,Retention,Online,1501.47,451.38,1050.08,14,5,4.43,0.0414,206.54,1712.6,1565.2,34.8447,-83.3052
2024-01-05,Central,Canada,Toronto,Marketing,Enterprise,Enterprise,Upsell,Online,18420.06,6958.3,11461.76,208,6,4.33,0.07,1691.07,3955.07,24981.19,43.6936,-81.1943
2024-06-02,Central,Canada,Toronto,Sales,Add-on Analytics,Enterprise,Q1 Launch,Online,1554.95,750.54,804.41,8,5,3.92,0.0407,127.87,3553.14,5116.44,43.0702,-80.3683
2024-06-22,West,USA,Seattle,Sales,Professional,Enterprise,Holiday Push,Partner,5845.41,2384.03,3461.38,55,3,4.61,0.045,836.46,12788.29,15476.42,37.9859,-120.8443
2024-02-02,West,USA,Seattle,Sales,Starter,Enterprise,Summer Promo,Partner,1460.53,776.85,683.67,8,6,3.96,0.0329,185.83,894.04,4542.04,38.8373,-122.721
2025-02-09,West,USA,Seattle,Operations,Starter,SMB,Q1 Launch,Retail,830.27,260.05,570.22,4,5,4.44,0.0619,75.42,293.27,1190.83,39.2608,-123.4153
2024-05-17,West,USA,Seattle,Operations,Add-on Analytics,Mid-Market,Q1 Launch,Partner,567.56,161.41,406.15,3,2,4.56,0.0517,61.39,1063.49,2221.38,37.0726,-122.5
2024-02-22,West,USA,Denver,Finance,Starter,SMB,Upsell,Partner,877.48,302.86,574.62,5,3,4.81,0.0474,144.58,820.27,1808.58,37.0868,-123.368
2025-06-04,North,USA,Minneapolis,Sales,Professional,SMB,Q1 Launch,Online,4566.66,1657.39,2909.27,22,5,4.43,0.0978,416.09,2343.38,9533.59,42.6458,-87.2971
